country,year,quarter,date_q,profit_share,inflation_total,inflation_energy,unemployment_rate,ulc_index,ulc_yoy,gdp_real,gdp_yoy
ES,1999,1,1999-01-01,37.47,1.7666666666666666,-3.933333333333333,14.333333333333334,68.01,1.8037572038021032,216997,4.141230899178372
ES,1999,2,1999-04-01,37.54,2.1666666666666665,-2.0666666666666664,13.533333333333333,68.01,1.8037572038021032,219484,4.190718517393277
ES,1999,3,1999-07-01,37.08,2.3,5.033333333333333,13.466666666666667,68.01,1.8037572038021032,222470,4.61152151526123
ES,1999,4,1999-10-01,36.82,2.6333333333333333,2.3666666666666667,13.066666666666666,68.01,1.8037572038021032,224940,4.681682799702158
ES,2000,1,2000-01-01,36.97,2.966666666666667,6.766666666666667,12.466666666666667,69.949,2.851051315982933,228493,5.29776909358195
ES,2000,2,2000-04-01,36.33,3.2333333333333334,7.333333333333333,11.933333333333334,69.949,2.851051315982933,231381,5.420440669934945
ES,2000,3,2000-07-01,36.81,3.666666666666667,2.7333333333333334,11.8,69.949,2.851051315982933,233741,5.066301074302149
ES,2000,4,2000-10-01,37.1,4.033333333333333,6.8,11.466666666666667,69.949,2.851051315982933,236243,5.0248955276962715
ES,2001,1,2001-01-01,36.57,2.8666666666666667,3.6333333333333333,10.666666666666666,71.451,2.1472787316473285,238642,4.441711562279815
ES,2001,2,2001-04-01,37.29,3.7,3.7333333333333334,10.5,71.451,2.1472787316473285,240497,3.9398221980197157
ES,2001,3,2001-07-01,36.91,2.2666666666666666,1.3333333333333335,10.533333333333333,71.451,2.1472787316473285,242809,3.8795076601879863
ES,2001,4,2001-10-01,36.69,2.5,-3.5,10.6,71.451,2.1472787316473285,244354,3.433329241501326
ES,2002,1,2002-01-01,36.92,3.166666666666667,-0.8666666666666667,11.266666666666666,73.655,3.0846314257323204,245509,2.8775320354338385
ES,2002,2,2002-04-01,36.41,3.6,-2.4,11.266666666666666,73.655,3.0846314257323204,247567,2.9397456101323494
ES,2002,3,2002-07-01,36.55,3.566666666666667,-1.3,11.733333333333333,73.655,3.0846314257323204,248954,2.530795810698949
ES,2002,4,2002-10-01,36.8,3.966666666666667,0.033333333333333326,11.6,73.655,3.0846314257323204,250898,2.6780817993566686
ES,2003,1,2003-01-01,36.94,3.8,1.5333333333333332,11.666666666666666,75.429,2.408526237186881,253316,3.179924157566516
ES,2003,2,2003-04-01,37.22,2.9,1.5333333333333334,11.4,75.429,2.408526237186881,254287,2.714416703357081
ES,2003,3,2003-07-01,37.28,3,0.9666666666666667,11.533333333333333,75.429,2.408526237186881,256181,2.902945925753353
ES,2003,4,2003-10-01,36.94,2.7666666666666666,1.4,11.366666666666667,75.429,2.408526237186881,258329,2.961761353219239
ES,2004,1,2004-01-01,36.72,2.2333333333333334,0.4333333333333334,11.2,78.006,3.416457861034883,259840,2.575439372167576
ES,2004,2,2004-04-01,36.8,3.2,0.8666666666666667,11.2,78.006,3.416457861034883,262599,3.2687475175687375
ES,2004,3,2004-07-01,36.68,3.2666666666666666,2.433333333333333,10.966666666666667,78.006,3.416457861034883,264814,3.369883012401398
ES,2004,4,2004-10-01,36.82,3.466666666666667,3.9333333333333336,10.533333333333333,78.006,3.416457861034883,266693,3.237731729693527
ES,2005,1,2005-01-01,37.24,3.2666666666666666,3.566666666666667,9.9,80.542,3.2510319718995984,269076,3.554495073891628
ES,2005,2,2005-04-01,36.99,3.2666666666666666,6.266666666666667,9.4,80.542,3.2510319718995984,271464,3.375869672009424
ES,2005,3,2005-07-01,37.18,3.4666666666666663,7.7,8.633333333333333,80.542,3.2510319718995984,274064,3.4930177407538787
ES,2005,4,2005-10-01,37.25,3.533333333333333,7.633333333333333,8.7,80.542,3.2510319718995984,276769,3.7781269099676384
ES,2006,1,2006-01-01,36.06,4.066666666666666,12.433333333333334,8.733333333333333,83.556,3.74214695438404,279989,4.055731466202861
ES,2006,2,2006-04-01,36.64,4,12.033333333333333,8.5,83.556,3.74214695438404,282509,4.068679456576185
ES,2006,3,2006-07-01,37.07,3.5666666666666664,9.4,8.266666666666667,83.556,3.74214695438404,285176,4.054527409656128
ES,2006,4,2006-10-01,37.36,2.666666666666667,5.7,8.266666666666667,83.556,3.74214695438404,287830,3.99647359350217
ES,2007,1,2007-01-01,37.19,2.433333333333333,2.2666666666666666,8.2,86.836,3.9255110345157718,290446,3.734789581019249
ES,2007,2,2007-04-01,37.67,2.433333333333333,0.2,7.966666666666667,86.836,3.9255110345157718,292995,3.711740156950749
ES,2007,3,2007-07-01,38.54,2.4,0.6333333333333333,8.233333333333334,86.836,3.9255110345157718,295191,3.5118663562150987
ES,2007,4,2007-10-01,39.95,4,4.433333333333334,8.6,86.836,3.9255110345157718,296994,3.1838237848730078
ES,2008,1,2008-01-01,38.26,4.5,7.1000000000000005,9.3,92.434,6.44663503616012,297549,2.445549258726243
ES,2008,2,2008-04-01,39.53,4.666666666666667,10.333333333333334,10.4,92.434,6.44663503616012,297654,1.5901295243946123
ES,2008,3,2008-07-01,40.53,4.933333333333334,14.166666666666666,11.533333333333333,92.434,6.44663503616012,297024,0.6209538908706458
ES,2008,4,2008-10-01,41.18,2.466666666666667,10,13.833333333333334,92.434,6.44663503616012,292418,-1.5407718674451343
